Nom,Genre,Ville,Age,Revenu,Tolérance au Risque,Historique d'Investissement,Objectif Financier,Secteur Préféré,Fréquence d'Investissement,Domaine Recommandé
Constance Olivier Le LemaÃ®tre,Femme,Paris,48,91061.68,Élevé,"Actions, Obligations",Retraite,Santé,Mensuel,Actions
AdÃ¨le Duval,Homme,Montpellier,60,95493.18,Moyen,"ETF, Fundraising",Épargne de sécurité,Industrie,Trimestriel,Obligations
Simone Masson de Collin,Femme,Nice,40,84344.87,Élevé,"Obligations, Immobilier",Retraite,Finance,Mensuel,Actions
Gabrielle Pichon-Paul,Femme,Lyon,44,59332.79,Moyen,"Actions, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Martin Le Chauvin,Femme,Nantes,40,75818.07,Élevé,"Fundraising, ETF, Immobilier",Achat immobilier,Santé,Trimestriel,ETF
Alexandre Marques,Homme,Lyon,47,90100.55,Élevé,"Cryptomonnaies, Obligations, Fundraising, Startups",Retraite,Finance,Mensuel,ETF
Franck Roche de la Girard,Homme,Lyon,36,53746.83,Moyen,"Cryptomonnaies, Immobilier",éducation des enfants,Finance,Trimestriel,ETF
Victor NoÃ«l,Femme,Paris,39,44360.57,Moyen,"Cryptomonnaies, Actions, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
Guillaume Meunier,Femme,Paris,56,58472.63,Moyen,Cryptomonnaies,Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Richard Le Roux,Femme,Marseille,30,44829.32,Élevé,"Obligations, Actions, ETF, Immobilier",Voyages,Immobilier,Annuel,Immobilier
Paul Carre,Homme,Paris,37,93985.93,Élevé,"Cryptomonnaies, ETF",Retraite,Santé,Mensuel,Actions
Danielle Aubert-Normand,Homme,Lyon,54,100654.2,Élevé,"Obligations, Matières premières, Startups",Retraite,Santé,Mensuel,ETF
Marcelle Gay,Femme,Montpellier,28,28744.41,Moyen,"Immobilier, ETF, Obligations",épargne de départ,Agriculture,Trimestriel,Obligations
Lucie Courtois,Homme,Montpellier,47,53187.88,Moyen,"MatiÃ¨res premiÃ¨res, Immobilier",Retraite,Technologie,Trimestriel,ETF
AnaÃ¯s Lopez Le Vaillant,Femme,Paris,47,71747.28,Moyen,"Actions, ETF",Retraite,Santé,Trimestriel,ETF
AndrÃ© Baron-LemaÃ®tre,Homme,Paris,32,62665.18,Élevé,"Actions, Obligations",Voyages,Santé,Trimestriel,ETF
Margaux Jean,Homme,Nantes,40,36578.27,Moyen,"Investissement Socialement Responsable, Obligations",éducation des enfants,Industrie,Trimestriel,Obligations
Yves Simon,Homme,Paris,42,71771.53,Élevé,"MatiÃ¨res premiÃ¨res, Actions, Immobilier",Achat immobilier,Santé,Trimestriel,Actions
Ã‰lise Vincent,Homme,Paris,41,69632.67,Élevé,"Cryptomonnaies, ETF",éducation des enfants,Santé,Trimestriel,ETF
Joseph Jacquot,Femme,Lille,35,27404.94,Moyen,"Immobilier, Obligations",Achat immobilier,Industrie,Trimestriel,Obligations
Gabriel-Pierre Perret,Femme,Paris,42,47303.32,Moyen,"Actions, Immobilier",Retraite,Consommation,Trimestriel,Obligations
AndrÃ©e Lemoine,Femme,Toulouse,25,17976.85,Moyen,"Fundraising, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
AurÃ©lie Pires,Femme,Paris,28,35526.27,Moyen,"ETF, Immobilier",Voyages,Immobilier,Trimestriel,Immobilier
Augustin Barre,Femme,Nantes,25,27531.57,Moyen,Immobilier,épargne de départ,Immobilier,Trimestriel,Immobilier
MichÃ¨le Laine,Homme,Nantes,25,46042.83,Élevé,"Fundraising, Obligations, ETF, Immobilier",épargne de départ,Santé,Annuel,Actions
Bernard Verdier,Femme,Marseille,44,58904.68,Moyen,"Actions, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Adrienne Moreau,Homme,Nice,58,94441.65,Moyen,"Actions, ETF",Retraite,Finance,Trimestriel,ETF
AndrÃ©e Royer de Picard,Homme,Marseille,25,28302.67,Moyen,"ETF, Obligations",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Paul Pires,Homme,Nice,25,20225.74,Moyen,"Actions, Obligations",Investir dans l'éducation,Consommation,Trimestriel,Obligations
Nathalie Marty,Homme,Bordeaux,42,59039.25,Moyen,"Actions, ETF, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
Franck Coulon,Femme,Nantes,46,30621.87,Moyen,"Cryptomonnaies, Immobilier",Retraite,Technologie,Trimestriel,ETF
AdÃ©laÃ¯de Carre Le Laine,Femme,Toulouse,25,17487.35,Moyen,"Cryptomonnaies, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Alfred-Xavier Lecoq,Homme,Montpellier,47,66259.25,Moyen,"ETF, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Richard du Guillon,Homme,Paris,49,98098.27,Élevé,"Immobilier, Fundraising, Obligations",Achat immobilier,Finance,Mensuel,ETF
Marcelle Verdier,Homme,Paris,48,78073.76,Moyen,"Actions, Matières premières, ETF",Retraite,Finance,Trimestriel,ETF
RenÃ© Petitjean,Homme,Montpellier,39,41218.7,Moyen,"Actions, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
ThÃ©ophile Merle,Femme,Paris,45,69911.9,Moyen,Obligations,éducation des enfants,Santé,Trimestriel,Actions
AimÃ© Guillou,Femme,Toulouse,34,39037.31,Moyen,"Immobilier, Actions, Startups",Investir dans l'éducation,Industrie,Trimestriel,Obligations
Jacques Robert-Hoareau,Homme,Paris,31,57565.84,Élevé,"Startups, ETF, Obligations",Investir dans l'éducation,Finance,Trimestriel,Actions
Matthieu Daniel,Homme,Lyon,42,76926.53,Élevé,"Immobilier, Obligations, Fundraising",éducation des enfants,Finance,Trimestriel,Actions
Marthe Albert-Rousset,Homme,Paris,51,90080.7,Élevé,"Actions, ETF",Retraite,Technologie,Mensuel,ETF
William Boulay du ChrÃ©tien,Femme,Montpellier,41,42074,Moyen,"Actions, Immobilier",éducation des enfants,Finance,Trimestriel,Actions
Henriette LabbÃ©,Homme,Marseille,57,64569.27,Moyen,"Actions, ETF, Immobilier",Retraite,Consommation,Trimestriel,Obligations
Capucine Adam,Femme,Paris,50,93859.06,Élevé,"Immobilier, Actions, ETF, Obligations",Retraite,Santé,Mensuel,Actions
Ã‰dith Boulay Le Hebert,Femme,Paris,25,38780.28,Élevé,"Actions, ETF",Investir dans l'éducation,Industrie,Annuel,Obligations
Christelle Ferreira,Femme,Paris,56,73526.68,Moyen,"Obligations, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
HÃ©lÃ¨ne Goncalves,Homme,Paris,36,91819.98,Élevé,"Actions, Immobilier",éducation des enfants,Finance,Mensuel,Actions
Marthe Marty Le Collet,Homme,Paris,43,37174.28,Moyen,"ETF, Immobilier",Retraite,Industrie,Trimestriel,Obligations
Philippine Le Gall,Homme,Lyon,25,35349.89,Élevé,"Actions, ETF",Voyages,Agriculture,Annuel,Obligations
Adrien Charpentier,Femme,Toulouse,34,34017.68,Moyen,Actions,Investir dans l'éducation,Consommation,Trimestriel,Obligations
Catherine Dupuy-Marchand,Homme,Paris,40,44470.28,Moyen,"Actions, Obligations",Achat immobilier,Finance,Trimestriel,ETF
Thierry-AndrÃ© Schmitt,Femme,Paris,49,83473.02,Moyen,Actions,éducation des enfants,Immobilier,Trimestriel,Immobilier
CÃ©cile Guyot,Femme,Toulouse,39,37592.53,Moyen,Actions,Achat immobilier,Agriculture,Trimestriel,Obligations
Lorraine-Sabine Robin,Homme,Paris,38,75545.28,Élevé,"Obligations, Actions, Immobilier",éducation des enfants,Technologie,Trimestriel,Cryptomonnaies
CÃ©cile Lenoir,Homme,Nice,29,50617.82,Élevé,"Cryptomonnaies, Actions, Obligations",Investir dans l'éducation,Santé,Trimestriel,Actions
Joseph Lefort-Perrier,Femme,Lille,43,43069.91,Moyen,"Actions, Matières premières, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Zacharie Poirier,Homme,Lyon,40,82416.23,Élevé,"Cryptomonnaies, ETF, Obligations",éducation des enfants,Finance,Mensuel,ETF
Zacharie Raynaud,Femme,Nantes,70,91030.27,Moyen,"Cryptomonnaies, ETF, Fundraising",Retraite,Industrie,Trimestriel,Obligations
Suzanne Masse du Collin,Femme,Paris,25,50264.48,Élevé,"Cryptomonnaies, Obligations, Actions, Immobilier",Investir dans l'éducation,Santé,Trimestriel,Actions
Jules Vasseur,Femme,Nice,67,140839.26,Élevé,"Obligations, Actions, Immobilier",Retraite,Technologie,Mensuel,Actions
Christine Le Barbe,Femme,Marseille,33,39709.12,Moyen,"Cryptomonnaies, Actions",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Lorraine Evrard,Femme,Nantes,48,64969.83,Moyen,"Cryptomonnaies, Matières premières, Startups",éducation des enfants,Technologie,Trimestriel,ETF
RenÃ© Ã‰tienne,Femme,Paris,30,73390.21,Élevé,"Actions, Immobilier",Investir dans l'éducation,Technologie,Trimestriel,Cryptomonnaies
Madeleine Barthelemy,Homme,Nantes,25,53376.12,Élevé,"Startups, Cryptomonnaies, ETF, Obligations",Investir dans l'éducation,Santé,Trimestriel,Actions
Guillaume-Julien De Oliveira,Homme,Strasbourg,41,38853.37,Moyen,"Immobilier, Matières premières, Obligations",Achat immobilier,Agriculture,Trimestriel,Obligations
Michelle Bouvier Le GuÃ©rin,Femme,Nantes,25,18113.8,Moyen,"Actions, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
William Marie,Femme,Lyon,44,39439.23,Moyen,"Cryptomonnaies, Obligations",éducation des enfants,Consommation,Trimestriel,Obligations
Thibault Cousin,Femme,Paris,36,63897.75,Élevé,"Obligations, Startups",Retraite,Technologie,Trimestriel,Actions
Jacques-Guillaume Lefebvre,Homme,Marseille,49,46438.55,Moyen,"Immobilier, ETF, Obligations",Retraite,Industrie,Trimestriel,Obligations
Bertrand Perez,Homme,Toulouse,40,23374.31,Moyen,"ETF, Fundraising, Immobilier",éducation des enfants,Agriculture,Trimestriel,Obligations
RenÃ©e ClÃ©ment,Femme,Toulouse,33,36820.27,Moyen,"Immobilier, Obligations",Investir dans l'éducation,Agriculture,Trimestriel,Obligations
Julie-Henriette Laporte,Homme,Nantes,26,31901.5,Moyen,"Cryptomonnaies, Actions",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
