Name,Gender,City,Age,Income,Risk Tolerance,Investment History,Financial Objective,Preferred Sector,Investment Frequency,Recommended Domain
Constance Olivier Le LemaÃ®tre,Women,Paris,48,91061.68,High,"Actions, Obligations",Retraite,Santé,Mensuel,Actions
AdÃ¨le Duval,Man,Montpellier,60,95493.18,Medium,"ETF, Fundraising",Épargne de sécurité,Industrie,Trimestriel,Obligations
Simone Masson de Collin,Women,Nice,40,84344.87,High,"Obligations, Immobilier",Retraite,Finance,Mensuel,Actions
Gabrielle Pichon-Paul,Women,Lyon,44,59332.79,Medium,"Actions, Obligations",Retraite,Immobilier,Trimestriel,Immobilier
Martin Le Chauvin,Women,Nantes,40,75818.07,High,"Fundraising, ETF, Immobilier",Achat immobilier,Santé,Trimestriel,ETF
Alexandre Marques,Man,Lyon,47,90100.55,High,"Cryptomonnaies, Obligations, Fundraising, Startups",Retraite,Finance,Mensuel,ETF
Franck Roche de la Girard,Man,Lyon,36,53746.83,Medium,"Cryptomonnaies, Immobilier",éducation des enfants,Finance,Trimestriel,ETF
Victor NoÃ«l,Women,Paris,39,44360.57,Medium,"Cryptomonnaies, Actions, Obligations",Achat immobilier,Immobilier,Trimestriel,Immobilier
Guillaume Meunier,Women,Paris,56,58472.63,Medium,Cryptomonnaies,Épargne de sécurité,Immobilier,Trimestriel,Immobilier
Richard Le Roux,Women,Marseille,30,44829.32,High,"Obligations, Actions, ETF, Immobilier",Voyages,Immobilier,Annuel,Immobilier
Paul Carre,Man,Paris,37,93985.93,High,"Cryptomonnaies, ETF",Retraite,Santé,Mensuel,Actions
Danielle Aubert-Normand,Man,Lyon,54,100654.2,High,"Obligations, Matières premières, Startups",Retraite,Santé,Mensuel,ETF
Marcelle Gay,Women,Montpellier,28,28744.41,Medium,"Immobilier, ETF, Obligations",épargne de départ,Agriculture,Trimestriel,Obligations
Lucie Courtois,Man,Montpellier,47,53187.88,Medium,"MatiÃ¨res premiÃ¨res, Immobilier",Retraite,Technologie,Trimestriel,ETF
AnaÃ¯s Lopez Le Vaillant,Women,Paris,47,71747.28,Medium,"Actions, ETF",Retraite,Santé,Trimestriel,ETF
AndrÃ© Baron-LemaÃ®tre,Man,Paris,32,62665.18,High,"Actions, Obligations",Voyages,Santé,Trimestriel,ETF
Margaux Jean,Man,Nantes,40,36578.27,Medium,"Investissement Socialement Responsable, Obligations",éducation des enfants,Industrie,Trimestriel,Obligations
Yves Simon,Man,Paris,42,71771.53,High,"MatiÃ¨res premiÃ¨res, Actions, Immobilier",Achat immobilier,Santé,Trimestriel,Actions
Ã‰lise Vincent,Man,Paris,41,69632.67,High,"Cryptomonnaies, ETF",éducation des enfants,Santé,Trimestriel,ETF
Joseph Jacquot,Women,Lille,35,27404.94,Medium,"Immobilier, Obligations",Achat immobilier,Industrie,Trimestriel,Obligations
Gabriel-Pierre Perret,Women,Paris,42,47303.32,Medium,"Actions, Immobilier",Retraite,Consommation,Trimestriel,Obligations
AndrÃ©e Lemoine,Women,Toulouse,25,17976.85,Medium,"Fundraising, Immobilier",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
AurÃ©lie Pires,Women,Paris,28,35526.27,Medium,"ETF, Immobilier",Voyages,Immobilier,Trimestriel,Immobilier
Augustin Barre,Women,Nantes,25,27531.57,Medium,Immobilier,épargne de départ,Immobilier,Trimestriel,Immobilier
MichÃ¨le Laine,Man,Nantes,25,46042.83,High,"Fundraising, Obligations, ETF, Immobilier",épargne de départ,Santé,Annuel,Actions
Bernard Verdier,Women,Marseille,44,58904.68,Medium,"Actions, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Adrienne Moreau,Man,Nice,58,94441.65,Medium,"Actions, ETF",Retraite,Finance,Trimestriel,ETF
AndrÃ©e Royer de Picard,Man,Marseille,25,28302.67,Medium,"ETF, Obligations",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Paul Pires,Man,Nice,25,20225.74,Medium,"Actions, Obligations",Investir dans l'éducation,Consommation,Trimestriel,Obligations
Nathalie Marty,Man,Bordeaux,42,59039.25,Medium,"Actions, ETF, Obligations",éducation des enfants,Immobilier,Trimestriel,Immobilier
Franck Coulon,Women,Nantes,46,30621.87,Medium,"Cryptomonnaies, Immobilier",Retraite,Technologie,Trimestriel,ETF
AdÃ©laÃ¯de Carre Le Laine,Women,Toulouse,25,17487.35,Medium,"Cryptomonnaies, Obligations",épargne de départ,Immobilier,Trimestriel,Immobilier
Alfred-Xavier Lecoq,Man,Montpellier,47,66259.25,Medium,"ETF, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
Richard du Guillon,Man,Paris,49,98098.27,High,"Immobilier, Fundraising, Obligations",Achat immobilier,Finance,Mensuel,ETF
Marcelle Verdier,Man,Paris,48,78073.76,Medium,"Actions, Matières premières, ETF",Retraite,Finance,Trimestriel,ETF
RenÃ© Petitjean,Man,Montpellier,39,41218.7,Medium,"Actions, Immobilier",éducation des enfants,Immobilier,Trimestriel,Immobilier
ThÃ©ophile Merle,Women,Paris,45,69911.9,Medium,Obligations,éducation des enfants,Santé,Trimestriel,Actions
AimÃ© Guillou,Women,Toulouse,34,39037.31,Medium,"Immobilier, Actions, Startups",Investir dans l'éducation,Industrie,Trimestriel,Obligations
Jacques Robert-Hoareau,Man,Paris,31,57565.84,High,"Startups, ETF, Obligations",Investir dans l'éducation,Finance,Trimestriel,Actions
Matthieu Daniel,Man,Lyon,42,76926.53,High,"Immobilier, Obligations, Fundraising",éducation des enfants,Finance,Trimestriel,Actions
Marthe Albert-Rousset,Man,Paris,51,90080.7,High,"Actions, ETF",Retraite,Technologie,Mensuel,ETF
William Boulay du ChrÃ©tien,Women,Montpellier,41,42074,Medium,"Actions, Immobilier",éducation des enfants,Finance,Trimestriel,Actions
Henriette LabbÃ©,Man,Marseille,57,64569.27,Medium,"Actions, ETF, Immobilier",Retraite,Consommation,Trimestriel,Obligations
Capucine Adam,Women,Paris,50,93859.06,High,"Immobilier, Actions, ETF, Obligations",Retraite,Santé,Mensuel,Actions
Ã‰dith Boulay Le Hebert,Women,Paris,25,38780.28,High,"Actions, ETF",Investir dans l'éducation,Industrie,Annuel,Obligations
Christelle Ferreira,Women,Paris,56,73526.68,Medium,"Obligations, Immobilier",Retraite,Immobilier,Trimestriel,Immobilier
HÃ©lÃ¨ne Goncalves,Man,Paris,36,91819.98,High,"Actions, Immobilier",éducation des enfants,Finance,Mensuel,Actions
Marthe Marty Le Collet,Man,Paris,43,37174.28,Medium,"ETF, Immobilier",Retraite,Industrie,Trimestriel,Obligations
Philippine Le Gall,Man,Lyon,25,35349.89,High,"Actions, ETF",Voyages,Agriculture,Annuel,Obligations
Adrien Charpentier,Women,Toulouse,34,34017.68,Medium,Actions,Investir dans l'éducation,Consommation,Trimestriel,Obligations
Catherine Dupuy-Marchand,Man,Paris,40,44470.28,Medium,"Actions, Obligations",Achat immobilier,Finance,Trimestriel,ETF
Thierry-AndrÃ© Schmitt,Women,Paris,49,83473.02,Medium,Actions,éducation des enfants,Immobilier,Trimestriel,Immobilier
CÃ©cile Guyot,Women,Toulouse,39,37592.53,Medium,Actions,Achat immobilier,Agriculture,Trimestriel,Obligations
Lorraine-Sabine Robin,Man,Paris,38,75545.28,High,"Obligations, Actions, Immobilier",éducation des enfants,Technologie,Trimestriel,Cryptomonnaies
CÃ©cile Lenoir,Man,Nice,29,50617.82,High,"Cryptomonnaies, Actions, Obligations",Investir dans l'éducation,Santé,Trimestriel,Actions
Joseph Lefort-Perrier,Women,Lille,43,43069.91,Medium,"Actions, Matières premières, Obligations",Retraite,Agriculture,Trimestriel,Obligations
Zacharie Poirier,Man,Lyon,40,82416.23,High,"Cryptomonnaies, ETF, Obligations",éducation des enfants,Finance,Mensuel,ETF
Zacharie Raynaud,Women,Nantes,70,91030.27,Medium,"Cryptomonnaies, ETF, Fundraising",Retraite,Industrie,Trimestriel,Obligations
Suzanne Masse du Collin,Women,Paris,25,50264.48,High,"Cryptomonnaies, Obligations, Actions, Immobilier",Investir dans l'éducation,Santé,Trimestriel,Actions
Jules Vasseur,Women,Nice,67,140839.26,High,"Obligations, Actions, Immobilier",Retraite,Technologie,Mensuel,Actions
Christine Le Barbe,Women,Marseille,33,39709.12,Medium,"Cryptomonnaies, Actions",Investir dans l'éducation,Immobilier,Trimestriel,Immobilier
Lorraine Evrard,Women,Nantes,48,64969.83,Medium,"Cryptomonnaies, Matières premières, Startups",éducation des enfants,Technologie,Trimestriel,ETF
